tipo,tipo_documento,folio,emisor,receptor,razon_social_receptor,publicacion,emision,monto_neto,monto_exento,monto_iva,monto_total,impuestos,fecha_sii,estado_sii,informacion_sii,fecha_intercambio,estado_intercambio,informacion_intercambio,uri,referencias,indservicio,condicion_pago,tipofactesp,fecha_vencimiento,estado_reclamo_mercaderia,fecha_reclamo_mercaderia,estado_reclamo_contenido,fecha_reclamo_contenido
33,factura_electronica,14822,  76.379.570-5,  96.804.330-7,COMPASS GROUP CHILE S A ADMINISTRADORA GENERAL DE FONDOS,11/07/2019 13:46,10/07/2019,559068,0,106223,665291,,11/07/2019 13:49,ACEPTADO_POR_EL_SII,2019-07-11 13:49:53.7 TrackID: 3850518986,11/07/2019 13:52,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: intercambio@dtebcn.cl Entrega: Exitosa Estado: 2.0.0 Servidor Informante:  smtp01.dtebcn.cl Servidor Remoto:  smtp01.dtebcn.cl Codigo de Respuesta:  delivery via local: delivered to mailbox.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113462446_142123470_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14821,  76.379.570-5,  96.804.330-7,COMPASS GROUP CHILE S A ADMINISTRADORA GENERAL DE FONDOS,11/07/2019 13:46,10/07/2019,139767,0,26556,166323,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:53,ACEPTADO_CON_RECEPCION_TECNICA,Emite: intercambio@dtebcn.cl Glosa: ACUSE RECIBO AUTOMATICO (0),http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113462246_142123464_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14820,  76.379.570-5,  96.804.330-7,COMPASS GROUP CHILE S A ADMINISTRADORA GENERAL DE FONDOS,11/07/2019 13:46,10/07/2019,335441,0,63734,399175,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:53,ACEPTADO_CON_RECEPCION_TECNICA,Emite: intercambio@dtebcn.cl Glosa: ACUSE RECIBO AUTOMATICO (0),http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113461946_142123446_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14819,  76.379.570-5,  96.804.330-7,COMPASS GROUP CHILE S A ADMINISTRADORA GENERAL DE FONDOS,11/07/2019 13:46,10/07/2019,838603,0,159335,997938,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:54,ACEPTADO_CON_RECEPCION_TECNICA,Emite: intercambio@dtebcn.cl Glosa: ACUSE RECIBO AUTOMATICO (0),http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113461746_142123431_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14818,  76.379.570-5,  96.804.330-7,COMPASS GROUP CHILE S A ADMINISTRADORA GENERAL DE FONDOS,11/07/2019 13:46,10/07/2019,139767,0,26556,166323,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:53,ACEPTADO_CON_RECEPCION_TECNICA,Emite: intercambio@dtebcn.cl Glosa: ACUSE RECIBO AUTOMATICO (0),http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113461446_142123422_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14817,  76.379.570-5,  99.279.000-8,EUROAMERICA SEGUROS DE VIDA S A,11/07/2019 13:44,10/07/2019,838603,0,159335,997938,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:51,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: euroamericavida_dte@paperless.cl Entrega: Expandido Estado: 2.0.0 Servidor Informante:  mta-ho-02.paperless.cl Servidor Remoto:  mta-ho-02.paperless.cl Codigo de Respuesta:  delivery via local: alias expanded.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113441744_142122785_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14816,  76.379.570-5,  99.279.000-8,EUROAMERICA SEGUROS DE VIDA S A,11/07/2019 13:44,10/07/2019,419301,0,79667,498968,,11/07/2019 13:47,ACEPTADO_POR_EL_SII,2019-07-11 13:47:51.186 TrackID: 3850511914,11/07/2019 13:51,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: euroamericavida_dte@paperless.cl Entrega: Expandido Estado: 2.0.0 Servidor Informante:  mta-ho-02.paperless.cl Servidor Remoto:  mta-ho-02.paperless.cl Codigo de Respuesta:  delivery via local: alias expanded.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113441444_142122765_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14815,  76.379.570-5,  96.899.230-9,EUROAMERICA CORREDORES DE BOLSA S A,11/07/2019 13:41,10/07/2019,2795342,0,531115,3326457,,11/07/2019 13:44,ACEPTADO_POR_EL_SII,2019-07-11 13:44:48.798 TrackID: 3850502922,11/07/2019 13:49,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: 968992309pro@mail.bcs.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  mailcleaner.zboxapp.com Codigo de Respuesta:  250 OK id=1hldB4-0006La-5P.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113411541_142120843_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14814,  76.379.570-5,  77.750.920-9,ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,11/07/2019 13:33,10/07/2019,139767,0,26556,166323,,11/07/2019 13:38,ACEPTADO_POR_EL_SII,2019-07-11 13:38:40.589 TrackID: 3850488928,11/07/2019 13:44,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: dte_euagf@artikos.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.artikos.cl Servidor Remoto:  localhost Codigo de Respuesta:  250 2.0.0 Ok: queued as 41B61521A9.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113332133_142115474_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
33,factura_electronica,14813,  76.379.570-5,  77.750.920-9,ZURICH CHILE ASSET MANAGEMENT ADMINISTRADORA GENERAL DE FONDOS S.A.,11/07/2019 13:33,10/07/2019,838603,0,159335,997938,,11/07/2019 13:38,ACEPTADO_POR_EL_SII,2019-07-11 13:38:40.589 TrackID: 3850488928,11/07/2019 13:44,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: dte_euagf@artikos.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.artikos.cl Servidor Remoto:  localhost Codigo de Respuesta:  250 2.0.0 Ok: queued as 41B61521A9.,http://lvaindices1907.acepta.com/v01/0000000_1721614177_1113331933_142115447_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/08/2019,,,,
