tipo,tipo_documento,folio,emisor,receptor,razon_social_receptor,publicacion,emision,monto_neto,monto_exento,monto_iva,monto_total,impuestos,fecha_sii,estado_sii,informacion_sii,fecha_intercambio,estado_intercambio,informacion_intercambio,uri,referencias,indservicio,condicion_pago,tipofactesp,fecha_vencimiento,estado_reclamo_mercaderia,fecha_reclamo_mercaderia,estado_reclamo_contenido,fecha_reclamo_contenido
33,factura_electronica,14695,  76.379.570-5,  80.962.600-8,TANNER CORREDORES DE BOLSA S A,12/06/2019 15:35,12/06/2019,2000000,0,380000,2380000,,12/06/2019 15:39,ACEPTADO_POR_EL_SII,2019-06-12 15:39:33.415 TrackID: 3781258830,12/06/2019 15:42,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: 809626008dte@mail.bcs.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  mailcleaner.zboxapp.com Codigo de Respuesta:  250 OK id=1hb97M-00012O-Bc.,http://lvaindices1906.acepta.com/v01/0000000_1721614177_1215355035_124504732_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,12/07/2019,,,,
33,factura_electronica,14694,  76.379.570-5,  97.006.000-6,BANCO DE CREDITO E INVERSIONES,12/06/2019 15:14,12/06/2019,1255649,0,238573,1494222,[ ],12/06/2019 15:17,ACEPTADO_POR_EL_SII,2019-06-12 15:17:11.441 TrackID: 3781174194,12/06/2019 15:20,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: dteproveedores@bci.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  aspmx.l.google.com Codigo de Respuesta:  250 2.0.0 OK  1560367071 q1si574147edg.232 - gsmtp.,http://lvaindices1906.acepta.com/v01/0000000_1721614177_1215142614_124494460_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,12/07/2019,,,,
33,factura_electronica,14693,  76.379.570-5,  76.033.734-K,FONDO DE INVERSION LV - PATIO RENTA INMOBILIARIA I,12/06/2019 14:29,12/06/2019,79724,0,15148,94872,[ ],12/06/2019 14:33,ACEPTADO_POR_EL_SII,2019-06-12 14:33:27.949 TrackID: 3781032956,12/06/2019 14:36,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,"Receptor: windte_dte@custodium.com Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.custodium.com Servidor Remoto:  mail.custodium.com Codigo de Respuesta:  250 2.0.0 <windte_dte@custodium.com>     jB3TMMtBAV0ULwAA/AembA Saved.",http://lvaindices1906.acepta.com/v01/0000000_1721614177_1214291429_124477616_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,12/07/2019,,,,
33,factura_electronica,14692,  76.379.570-5,  76.081.215-3,LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS,12/06/2019 14:26,12/06/2019,478342,0,90885,569227,[ ],12/06/2019 14:30,ACEPTADO_POR_EL_SII,2019-06-12 14:30:00.156 TrackID: 3781025796,12/06/2019 14:32,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,"Receptor: lvacsaagfrecepcion@custodium.com Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.custodium.com Servidor Remoto:  mail.custodium.com Codigo de Respuesta:  250 2.0.0 <lvacsaagfrecepcion@custodium.com>     lrA1NOpEAV0hMAAA/AembA Saved.",http://lvaindices1906.acepta.com/v01/0000000_1721614177_1214263426_124476215_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,12/07/2019,,,,
33,factura_electronica,14691,  76.379.570-5,  99.580.930-3,ZURICH ADMINISTRADORA GENERAL DE FONDOS S A,12/06/2019 11:19,10/06/2019,837099,0,159049,996148,[ ],12/06/2019 11:22,ACEPTADO_POR_EL_SII,2019-06-12 11:22:28.21 TrackID: 3780383966,12/06/2019 11:47,ACEPTADO_CON_RECEPCION_TECNICA,Emite: dte_zurichagf@artikos.cl Glosa: Env\303\255o Recibido Conforme. (0),http://lvaindices1906.acepta.com/v01/0000000_1721614177_1211191719_124407557_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/07/2019,,,,
33,factura_electronica,14690,  76.379.570-5,  99.580.930-3,ZURICH ADMINISTRADORA GENERAL DE FONDOS S A,12/06/2019 11:19,10/06/2019,181371,0,34460,215831,[ ],12/06/2019 11:22,ACEPTADO_POR_EL_SII,2019-06-12 11:22:28.21 TrackID: 3780383966,12/06/2019 11:47,ACEPTADO_CON_RECEPCION_TECNICA,Emite: dte_zurichagf@artikos.cl Glosa: Env\303\255o Recibido Conforme. (0),http://lvaindices1906.acepta.com/v01/0000000_1721614177_1211191419_124407535_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/07/2019,,,,
33,factura_electronica,14689,  76.379.570-5,  96.634.320-6,SCOTIA ADMINISTRADORA GENERAL DE FONDOS CHILE S.A.,12/06/2019 11:02,10/06/2019,697583,0,132541,830124,[ ],12/06/2019 11:06,ACEPTADO_POR_EL_SII,2019-06-12 11:06:13.828 TrackID: 3780312210,12/06/2019 11:11,ACEPTADO_CON_RECEPCION_TECNICA,Emite: scotiabank@artikos.cl Glosa: Env\303\255o Recibido Conforme. (0),http://lvaindices1906.acepta.com/v01/0000000_1721614177_1211022202_124400998_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,10/07/2019,,,,
33,factura_electronica,14688,  76.379.570-5,  76.007.631-7,NEVASA S.A.,12/06/2019 10:54,10/06/2019,744181,0,141394,885575,[ ],12/06/2019 10:58,ACEPTADO_POR_EL_SII,2019-06-12 10:58:08.737 TrackID: 3780279828,12/06/2019 11:01,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: dte@nevasa.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  mx1.proredesmail.com Codigo de Respuesta:  250 Ok: queued as 9D568E6064.,http://lvaindices1906.acepta.com/v01/0000000_1721614177_1210541754_124398322_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/07/2019,,,,
33,factura_electronica,14687,  76.379.570-5,  76.034.728-0,NEVASA HMC S.A. ADMINISTRADORA GENERAL DE FONDOS,12/06/2019 10:54,10/06/2019,371951,0,70671,442622,[ ],12/06/2019 10:58,ACEPTADO_POR_EL_SII,2019-06-12 10:58:08.737 TrackID: 3780279828,12/06/2019 11:01,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: dte@nevasa.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  mx1.proredesmail.com Codigo de Respuesta:  250 Ok: queued as 07355E6051.,http://lvaindices1906.acepta.com/v01/0000000_1721614177_1210541354_124398301_?k=98b8e92fce86e740d82d52fa6452de54,,,,,10/07/2019,,,,
33,factura_electronica,14686,  76.379.570-5,  99.543.100-9,MBI ADMINISTRADORA GENERAL DE FONDOS SOCIEDAD ANONIMA,12/06/2019 10:41,10/06/2019,558066,0,106033,664099,[ ],12/06/2019 10:44,ACEPTADO_POR_EL_SII,2019-06-12 10:44:54.32 TrackID: 3780229140,12/06/2019 10:47,ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA,Receptor: facturacion@mbi.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  aspmx.l.google.com Codigo de Respuesta:  250 2.0.0 OK  1560350769 p14si6516054eda.200 - gsmtp.,http://lvaindices1906.acepta.com/v01/0000000_1721614177_1210411441_124393395_?k=98b8e92fce86e740d82d52fa6452de54,,,Crédito,,10/07/2019,,,,
